MaHanhLy,MaVe,TrongLuong,LoaiHanhLy
HL00001269,VE00012657,0.62,Xach tay
HL00001270,VE00012657,28.78,Ky gui
HL00001271,VE00048844,1.53,Xach tay
HL00001272,VE00017055,29.15,Ky gui
HL00001273,VE00072925,0.91,Xach tay
HL00001274,VE00072925,16.63,Ky gui
HL00001275,VE00007862,8.26,Ky gui
HL00001276,VE00076870,2.18,Xach tay
HL00001277,VE00073609,2.81,Xach tay
HL00001278,VE00073621,6.21,Xach tay
HL00001279,VE00073621,12.22,Ky gui
HL00001280,VE00043208,4.99,Xach tay
HL00001281,VE00016022,23.08,Ky gui
HL00001282,VE00053846,30.02,Ky gui
HL00001283,VE00046347,3.47,Xach tay
HL00001284,VE00055436,8.0,Ky gui
HL00001285,VE00006744,4.47,Xach tay
HL00001286,VE00078697,30.58,Ky gui
HL00001287,VE00040954,6.13,Ky gui
HL00001288,VE00046091,4.59,Xach tay
HL00001289,VE00066508,2.4,Xach tay
HL00001290,VE00027885,3.79,Xach tay
HL00001291,VE00020281,7.68,Ky gui
HL00001292,VE00063202,14.03,Ky gui
HL00001293,VE00029393,6.02,Xach tay
HL00001294,VE00014185,3.2,Xach tay
HL00001295,VE00045891,11.62,Ky gui
HL00001296,VE00072911,14.22,Ky gui
HL00001297,VE00048177,7.3,Ky gui
HL00001298,VE00015059,5.41,Xach tay
HL00001299,VE00036513,4.82,Xach tay
HL00001300,VE00075249,5.4,Xach tay
HL00001301,VE00029644,1.98,Xach tay
HL00001302,VE00056245,16.16,Ky gui
HL00001303,VE00073527,3.48,Xach tay
HL00001304,VE00003442,14.77,Ky gui
HL00001305,VE00079823,1.45,Xach tay
HL00001306,VE00079823,5.27,Ky gui
HL00001307,VE00035055,30.48,Ky gui
HL00001308,VE00023648,2.55,Xach tay
HL00001309,VE00023648,31.51,Ky gui
HL00001310,VE00035819,0.9,Xach tay
HL00001311,VE00040500,22.82,Ky gui
HL00001312,VE00044542,29.37,Ky gui
HL00001313,VE00046010,4.61,Xach tay
HL00001314,VE00046010,24.26,Ky gui
HL00001315,VE00000801,19.03,Ky gui
HL00001316,VE00023778,3.11,Xach tay
HL00001317,VE00018777,19.95,Ky gui
HL00001318,VE00074229,5.33,Xach tay
HL00001319,VE00009121,2.32,Xach tay
HL00001320,VE00009121,19.25,Ky gui
HL00001321,VE00004019,17.05,Ky gui
HL00001322,VE00012027,4.04,Xach tay
HL00001323,VE00069532,22.61,Ky gui
HL00001324,VE00028198,28.97,Ky gui
HL00001325,VE00049309,15.92,Ky gui
HL00001326,VE00055029,2.46,Xach tay
HL00001327,VE00059461,2.67,Xach tay
HL00001328,VE00059461,24.58,Ky gui
HL00001329,VE00044682,8.4,Ky gui
HL00001330,VE00048504,1.1,Xach tay
HL00001331,VE00040847,19.08,Ky gui
HL00001332,VE00042518,9.32,Ky gui
HL00001333,VE00074396,5.68,Xach tay
HL00001334,VE00074396,21.0,Ky gui
HL00001335,VE00078149,5.53,Xach tay
HL00001336,VE00011136,31.65,Ky gui
HL00001337,VE00006896,0.89,Xach tay
HL00001338,VE00020393,4.58,Xach tay
HL00001339,VE00020633,0.81,Xach tay
HL00001340,VE00006523,8.37,Ky gui
HL00001341,VE00010694,5.29,Xach tay
HL00001342,VE00035666,6.89,Xach tay
HL00001343,VE00058080,31.7,Ky gui
HL00001344,VE00055577,29.15,Ky gui
HL00001345,VE00063657,19.4,Ky gui
HL00001346,VE00079571,14.46,Ky gui
HL00001347,VE00054288,5.6,Xach tay
HL00001348,VE00035805,23.16,Ky gui
HL00001349,VE00028256,19.03,Ky gui
HL00001350,VE00067155,2.63,Xach tay
HL00001351,VE00014919,27.22,Ky gui
HL00001352,VE00045243,1.14,Xach tay
HL00001353,VE00056350,27.37,Ky gui
HL00001354,VE00014535,0.9,Xach tay
HL00001355,VE00014535,28.99,Ky gui
HL00001356,VE00037126,3.4,Xach tay
HL00001357,VE00077744,3.92,Xach tay
HL00001358,VE00063784,19.01,Ky gui
HL00001359,VE00069067,2.21,Xach tay
HL00001360,VE00040426,3.25,Xach tay
HL00001361,VE00005953,6.55,Xach tay
HL00001362,VE00028904,6.83,Xach tay
HL00001363,VE00051808,8.9,Ky gui
HL00001364,VE00078555,5.12,Xach tay
HL00001365,VE00007181,5.08,Xach tay
HL00001366,VE00026795,1.88,Xach tay
HL00001367,VE00039508,5.35,Xach tay
HL00001368,VE00017988,6.69,Xach tay
HL00001369,VE00033492,16.03,Ky gui
HL00001370,VE00037939,4.22,Xach tay
HL00001371,VE00043008,1.5,Xach tay
HL00001372,VE00043008,15.03,Ky gui
HL00001373,VE00001014,3.66,Xach tay
HL00001374,VE00065194,8.84,Ky gui
HL00001375,VE00056447,6.31,Ky gui
HL00001376,VE00049835,5.82,Xach tay
HL00001377,VE00069807,1.3,Xach tay
HL00001378,VE00065571,6.16,Xach tay
HL00001379,VE00073234,4.22,Xach tay
HL00001380,VE00046422,29.31,Ky gui
HL00001381,VE00009448,17.83,Ky gui
HL00001382,VE00052045,21.35,Ky gui
HL00001383,VE00005545,18.63,Ky gui
HL00001384,VE00057177,3.42,Xach tay
HL00001385,VE00002457,6.13,Xach tay
HL00001386,VE00060261,5.7,Xach tay
HL00001387,VE00010206,16.06,Ky gui
HL00001388,VE00041034,3.07,Xach tay
HL00001389,VE00075466,30.87,Ky gui
HL00001390,VE00075157,22.44,Ky gui
HL00001391,VE00054748,20.44,Ky gui
HL00001392,VE00037948,24.1,Ky gui
HL00001393,VE00015097,8.34,Ky gui
HL00001394,VE00053089,10.2,Ky gui
HL00001395,VE00002734,20.58,Ky gui
HL00001396,VE00042569,4.21,Xach tay
HL00001397,VE00042569,10.11,Ky gui
HL00001398,VE00022528,6.33,Xach tay
HL00001399,VE00060306,6.59,Xach tay
HL00001400,VE00047429,0.62,Xach tay
HL00001401,VE00011552,11.62,Ky gui
HL00001402,VE00057241,28.97,Ky gui
HL00001403,VE00013876,5.74,Xach tay
HL00001404,VE00031892,15.85,Ky gui
HL00001405,VE00057105,6.1,Xach tay
HL00001406,VE00057105,5.63,Ky gui
HL00001407,VE00077185,3.2,Xach tay
HL00001408,VE00068677,2.17,Xach tay
HL00001409,VE00010309,1.15,Xach tay
HL00001410,VE00051874,1.44,Xach tay
HL00001411,VE00040669,1.08,Xach tay
HL00001412,VE00044501,3.15,Xach tay
HL00001413,VE00029042,4.49,Xach tay
HL00001414,VE00043656,0.68,Xach tay
HL00001415,VE00022038,3.03,Xach tay
HL00001416,VE00022038,13.64,Ky gui
HL00001417,VE00010012,2.61,Xach tay
HL00001418,VE00066911,5.88,Xach tay
HL00001419,VE00014946,1.82,Xach tay
HL00001420,VE00069548,20.82,Ky gui
HL00001421,VE00066841,5.39,Xach tay
HL00001422,VE00025416,1.25,Xach tay
HL00001423,VE00045794,3.52,Xach tay
HL00001424,VE00045794,15.99,Ky gui
HL00001425,VE00046020,3.15,Xach tay
HL00001426,VE00019359,6.26,Xach tay
HL00001427,VE00030969,6.76,Xach tay
HL00001428,VE00013475,11.65,Ky gui
HL00001429,VE00019195,26.2,Ky gui
HL00001430,VE00033551,3.14,Xach tay
HL00001431,VE00025857,4.63,Xach tay
HL00001432,VE00025857,10.49,Ky gui
HL00001433,VE00078958,6.9,Xach tay
HL00001434,VE00020037,19.51,Ky gui
HL00001435,VE00009877,6.42,Xach tay
HL00001436,VE00023219,0.51,Xach tay
HL00001437,VE00064765,5.89,Xach tay
HL00001438,VE00060812,6.82,Xach tay
HL00001439,VE00073890,6.57,Xach tay
HL00001440,VE00073890,18.02,Ky gui
HL00001441,VE00075953,27.67,Ky gui
HL00001442,VE00058839,2.78,Xach tay
HL00001443,VE00073990,20.8,Ky gui
HL00001444,VE00042364,6.23,Ky gui
HL00001445,VE00041437,20.2,Ky gui
HL00001446,VE00019787,3.07,Xach tay
HL00001447,VE00057641,1.41,Xach tay
HL00001448,VE00008951,12.55,Ky gui
HL00001449,VE00061463,4.47,Xach tay
HL00001450,VE00039692,4.93,Xach tay
HL00001451,VE00036003,2.2,Xach tay
HL00001452,VE00077519,17.22,Ky gui
HL00001453,VE00007363,6.89,Xach tay
HL00001454,VE00046130,3.49,Xach tay
HL00001455,VE00066498,5.43,Ky gui
HL00001456,VE00009725,22.45,Ky gui
HL00001457,VE00040686,3.6,Xach tay
HL00001458,VE00040686,29.34,Ky gui
HL00001459,VE00060522,16.16,Ky gui
HL00001460,VE00004930,25.59,Ky gui
HL00001461,VE00007457,26.26,Ky gui
HL00001462,VE00048332,7.09,Ky gui
HL00001463,VE00037628,5.91,Xach tay
HL00001464,VE00037628,23.13,Ky gui
HL00001465,VE00010058,14.53,Ky gui
HL00001466,VE00011836,27.34,Ky gui
HL00001467,VE00077868,1.65,Xach tay
HL00001468,VE00066463,23.82,Ky gui
HL00001469,VE00050395,3.51,Xach tay
HL00001470,VE00050395,30.28,Ky gui
HL00001471,VE00060649,1.94,Xach tay
HL00001472,VE00076065,2.33,Xach tay
HL00001473,VE00076065,29.88,Ky gui
HL00001474,VE00072656,1.08,Xach tay
HL00001475,VE00005377,13.19,Ky gui
HL00001476,VE00058948,11.32,Ky gui
HL00001477,VE00074929,2.86,Xach tay
HL00001478,VE00024673,6.38,Xach tay
HL00001479,VE00042144,10.65,Ky gui
HL00001480,VE00079300,5.84,Xach tay
HL00001481,VE00062342,6.15,Xach tay
HL00001482,VE00065716,18.34,Ky gui
HL00001483,VE00019774,22.82,Ky gui
HL00001484,VE00008110,23.42,Ky gui
HL00001485,VE00059051,6.76,Ky gui
HL00001486,VE00013567,0.92,Xach tay
HL00001487,VE00045016,4.2,Xach tay
HL00001488,VE00011054,3.9,Xach tay
HL00001489,VE00066133,10.18,Ky gui
HL00001490,VE00022618,31.78,Ky gui
HL00001491,VE00005131,19.39,Ky gui
HL00001492,VE00032473,4.14,Xach tay
HL00001493,VE00057596,6.6,Xach tay
HL00001494,VE00068691,30.46,Ky gui
HL00001495,VE00068518,6.6,Xach tay
HL00001496,VE00068518,16.68,Ky gui
HL00001497,VE00020808,4.92,Xach tay
HL00001498,VE00047697,2.85,Xach tay
HL00001499,VE00048871,28.86,Ky gui
HL00001500,VE00037080,2.31,Xach tay
HL00001501,VE00050780,3.42,Xach tay
HL00001502,VE00053579,1.76,Xach tay
HL00001503,VE00053579,7.21,Ky gui
HL00001504,VE00044351,5.69,Ky gui
HL00001505,VE00078367,31.41,Ky gui
HL00001506,VE00006864,0.98,Xach tay
HL00001507,VE00043864,1.57,Xach tay
HL00001508,VE00008640,4.57,Xach tay
HL00001509,VE00043214,3.62,Xach tay
HL00001510,VE00043214,26.82,Ky gui
HL00001511,VE00012388,21.91,Ky gui
HL00001512,VE00073134,2.13,Xach tay
HL00001513,VE00050668,2.05,Xach tay
HL00001514,VE00037244,0.85,Xach tay
HL00001515,VE00033030,5.66,Xach tay
HL00001516,VE00019710,21.73,Ky gui
HL00001517,VE00043695,21.88,Ky gui
HL00001518,VE00010683,7.31,Ky gui
HL00001519,VE00076381,0.72,Xach tay
HL00001520,VE00076381,13.46,Ky gui
HL00001521,VE00018538,6.76,Ky gui
HL00001522,VE00045852,6.47,Xach tay
HL00001523,VE00040663,2.46,Xach tay
HL00001524,VE00051375,6.78,Ky gui
HL00001525,VE00016902,20.1,Ky gui
HL00001526,VE00011105,2.98,Xach tay
HL00001527,VE00040578,5.39,Xach tay
HL00001528,VE00040578,11.29,Ky gui
HL00001529,VE00049373,22.81,Ky gui
HL00001530,VE00043055,3.0,Xach tay
HL00001531,VE00043055,26.47,Ky gui
HL00001532,VE00068996,14.17,Ky gui
HL00001533,VE00055497,17.26,Ky gui
HL00001534,VE00066649,1.75,Xach tay
HL00001535,VE00047426,4.37,Xach tay
HL00001536,VE00002390,5.63,Xach tay
HL00001537,VE00002390,10.23,Ky gui
HL00001538,VE00047527,22.21,Ky gui
HL00001539,VE00040484,3.24,Xach tay
HL00001540,VE00023628,17.0,Ky gui
HL00001541,VE00028075,5.68,Xach tay
HL00001542,VE00044792,2.53,Xach tay
HL00001543,VE00044792,16.77,Ky gui
HL00001544,VE00025167,13.4,Ky gui
HL00001545,VE00018031,8.98,Ky gui
HL00001546,VE00020309,2.73,Xach tay
HL00001547,VE00010115,0.55,Xach tay
HL00001548,VE00038771,23.31,Ky gui
HL00001549,VE00013257,3.8,Xach tay
HL00001550,VE00013257,27.55,Ky gui
HL00001551,VE00070749,1.77,Xach tay
HL00001552,VE00069014,6.41,Xach tay
HL00001553,VE00004948,14.22,Ky gui
HL00001554,VE00044141,23.76,Ky gui
HL00001555,VE00078283,13.94,Ky gui
HL00001556,VE00049378,31.0,Ky gui
HL00001557,VE00020219,16.3,Ky gui
HL00001558,VE00021267,3.45,Xach tay
HL00001559,VE00023704,6.14,Ky gui
HL00001560,VE00021698,0.52,Xach tay
HL00001561,VE00057367,2.0,Xach tay
HL00001562,VE00005727,11.45,Ky gui
HL00001563,VE00053853,30.72,Ky gui
HL00001564,VE00047750,5.31,Xach tay
HL00001565,VE00031134,1.7,Xach tay
HL00001566,VE00037347,0.98,Xach tay
HL00001567,VE00058842,1.25,Xach tay
HL00001568,VE00058842,12.85,Ky gui
HL00001569,VE00030672,4.31,Xach tay
HL00001570,VE00069994,6.19,Ky gui
HL00001571,VE00031349,1.79,Xach tay
HL00001572,VE00031349,9.7,Ky gui
HL00001573,VE00061475,14.18,Ky gui
HL00001574,VE00025431,9.82,Ky gui
HL00001575,VE00048214,5.98,Xach tay
HL00001576,VE00048214,29.59,Ky gui
HL00001577,VE00074767,4.9,Xach tay
HL00001578,VE00074767,15.23,Ky gui
HL00001579,VE00057750,8.0,Ky gui
HL00001580,VE00036933,2.06,Xach tay
HL00001581,VE00050053,22.84,Ky gui
HL00001582,VE00079255,1.44,Xach tay
HL00001583,VE00079255,29.95,Ky gui
HL00001584,VE00018141,10.18,Ky gui
HL00001585,VE00032769,2.93,Xach tay
HL00001586,VE00006840,31.38,Ky gui
HL00001587,VE00062992,0.8,Xach tay
HL00001588,VE00048656,10.11,Ky gui
HL00001589,VE00072685,26.32,Ky gui
HL00001590,VE00067622,0.85,Xach tay
HL00001591,VE00016342,28.57,Ky gui
HL00001592,VE00035756,1.03,Xach tay
HL00001593,VE00058894,4.81,Xach tay
HL00001594,VE00067287,3.81,Xach tay
HL00001595,VE00067287,25.29,Ky gui
HL00001596,VE00057341,18.75,Ky gui
HL00001597,VE00012022,3.52,Xach tay
HL00001598,VE00029103,2.93,Xach tay
HL00001599,VE00059131,24.32,Ky gui
HL00001600,VE00045821,2.24,Xach tay
HL00001601,VE00003496,6.49,Xach tay
HL00001602,VE00054382,5.99,Ky gui
HL00001603,VE00006981,1.82,Xach tay
HL00001604,VE00065800,2.49,Xach tay
HL00001605,VE00030904,30.26,Ky gui
HL00001606,VE00050616,4.08,Xach tay
HL00001607,VE00010697,1.05,Xach tay
HL00001608,VE00049141,2.79,Xach tay
HL00001609,VE00029431,17.56,Ky gui
HL00001610,VE00003695,16.5,Ky gui
HL00001611,VE00041771,3.16,Xach tay
HL00001612,VE00012988,13.56,Ky gui
HL00001613,VE00043948,1.67,Xach tay
HL00001614,VE00019143,4.69,Xach tay
HL00001615,VE00018036,1.04,Xach tay
HL00001616,VE00005021,18.85,Ky gui
HL00001617,VE00037602,26.22,Ky gui
HL00001618,VE00018192,0.96,Xach tay
HL00001619,VE00018192,6.03,Ky gui
HL00001620,VE00061488,1.78,Xach tay
HL00001621,VE00058800,2.47,Xach tay
HL00001622,VE00000689,23.46,Ky gui
HL00001623,VE00010385,5.09,Xach tay
HL00001624,VE00028267,24.98,Ky gui
HL00001625,VE00071933,2.45,Xach tay
HL00001626,VE00071933,27.2,Ky gui
HL00001627,VE00079808,15.9,Ky gui
HL00001628,VE00069177,4.27,Xach tay
HL00001629,VE00055477,17.74,Ky gui
HL00001630,VE00014574,25.55,Ky gui
HL00001631,VE00031148,3.08,Xach tay
HL00001632,VE00039473,5.37,Xach tay
HL00001633,VE00015971,3.85,Xach tay
HL00001634,VE00006259,25.46,Ky gui
HL00001635,VE00031253,17.46,Ky gui
HL00001636,VE00055028,13.45,Ky gui
HL00001637,VE00059915,5.51,Xach tay
HL00001638,VE00008233,10.66,Ky gui
HL00001639,VE00014531,4.13,Xach tay
HL00001640,VE00065514,4.25,Xach tay
HL00001641,VE00078216,6.63,Xach tay
HL00001642,VE00070262,5.77,Xach tay
HL00001643,VE00070262,27.53,Ky gui
HL00001644,VE00002155,3.22,Xach tay
HL00001645,VE00067552,15.89,Ky gui
HL00001646,VE00075373,19.52,Ky gui
HL00001647,VE00031712,0.65,Xach tay
HL00001648,VE00018819,29.9,Ky gui
HL00001649,VE00038178,6.69,Xach tay
HL00001650,VE00056262,4.59,Xach tay
HL00001651,VE00000206,21.41,Ky gui
HL00001652,VE00074799,3.04,Xach tay
HL00001653,VE00054601,10.09,Ky gui
HL00001654,VE00024552,4.2,Xach tay
HL00001655,VE00068615,6.32,Xach tay
HL00001656,VE00047266,1.18,Xach tay
HL00001657,VE00047266,19.93,Ky gui
HL00001658,VE00008871,4.98,Xach tay
HL00001659,VE00008871,18.19,Ky gui
HL00001660,VE00068952,0.95,Xach tay
HL00001661,VE00066497,2.01,Xach tay
HL00001662,VE00066536,6.89,Ky gui
HL00001663,VE00072634,3.87,Xach tay
HL00001664,VE00072634,9.64,Ky gui
HL00001665,VE00051178,1.52,Xach tay
HL00001666,VE00061622,3.99,Xach tay
HL00001667,VE00005707,0.95,Xach tay
HL00001668,VE00033247,1.84,Xach tay
HL00001669,VE00002129,5.11,Xach tay
HL00001670,VE00046806,4.42,Xach tay
HL00001671,VE00045194,18.57,Ky gui
HL00001672,VE00031605,12.44,Ky gui
HL00001673,VE00013588,1.43,Xach tay
HL00001674,VE00013588,6.73,Ky gui
HL00001675,VE00076272,5.75,Xach tay
HL00001676,VE00043584,29.58,Ky gui
HL00001677,VE00005812,4.24,Xach tay
HL00001678,VE00046177,12.77,Ky gui
HL00001679,VE00044375,5.05,Xach tay
HL00001680,VE00022950,13.03,Ky gui
HL00001681,VE00060900,26.87,Ky gui
HL00001682,VE00062723,2.12,Xach tay
HL00001683,VE00017676,17.36,Ky gui
HL00001684,VE00059989,4.2,Xach tay
HL00001685,VE00004848,6.65,Xach tay
HL00001686,VE00038463,6.16,Xach tay
HL00001687,VE00026423,4.58,Xach tay
HL00001688,VE00005742,6.46,Xach tay
HL00001689,VE00026145,24.51,Ky gui
HL00001690,VE00005493,3.71,Xach tay
HL00001691,VE00040643,31.87,Ky gui
HL00001692,VE00067553,1.18,Xach tay
HL00001693,VE00067553,25.7,Ky gui
HL00001694,VE00052197,3.43,Xach tay
HL00001695,VE00071177,3.79,Xach tay
HL00001696,VE00062050,0.98,Xach tay
HL00001697,VE00033203,25.24,Ky gui
HL00001698,VE00004800,5.35,Xach tay
HL00001699,VE00037502,0.57,Xach tay
HL00001700,VE00046790,6.46,Xach tay
HL00001701,VE00006266,5.37,Xach tay
HL00001702,VE00043507,0.94,Xach tay
HL00001703,VE00035812,11.54,Ky gui
HL00001704,VE00048238,5.83,Xach tay
HL00001705,VE00057273,9.61,Ky gui
HL00001706,VE00052432,1.15,Xach tay
HL00001707,VE00052432,12.94,Ky gui
HL00001708,VE00057638,15.55,Ky gui
HL00001709,VE00050679,5.46,Xach tay
HL00001710,VE00050679,23.29,Ky gui
HL00001711,VE00044439,2.83,Xach tay
HL00001712,VE00024487,0.72,Xach tay
HL00001713,VE00065039,10.84,Ky gui
HL00001714,VE00065212,27.59,Ky gui
HL00001715,VE00048149,22.31,Ky gui
HL00001716,VE00068063,29.22,Ky gui
HL00001717,VE00034960,2.5,Xach tay
HL00001718,VE00010829,0.53,Xach tay
HL00001719,VE00010829,25.86,Ky gui
HL00001720,VE00055641,30.08,Ky gui
HL00001721,VE00010346,2.05,Xach tay
HL00001722,VE00056441,3.24,Xach tay
HL00001723,VE00056441,31.71,Ky gui
HL00001724,VE00078965,1.75,Xach tay
HL00001725,VE00023653,10.96,Ky gui
HL00001726,VE00038505,27.42,Ky gui
HL00001727,VE00042102,1.59,Xach tay
HL00001728,VE00013448,1.2,Xach tay
HL00001729,VE00010495,4.15,Xach tay
HL00001730,VE00042982,1.85,Xach tay
HL00001731,VE00038751,30.35,Ky gui
HL00001732,VE00040174,1.89,Xach tay
HL00001733,VE00058448,1.63,Xach tay
HL00001734,VE00078987,2.56,Xach tay
HL00001735,VE00055852,3.48,Xach tay
HL00001736,VE00021843,5.8,Xach tay
HL00001737,VE00021843,22.55,Ky gui
HL00001738,VE00058184,0.94,Xach tay
HL00001739,VE00046078,2.46,Xach tay
HL00001740,VE00058607,31.54,Ky gui
HL00001741,VE00005552,3.99,Xach tay
HL00001742,VE00035987,6.73,Xach tay
HL00001743,VE00007519,31.5,Ky gui
HL00001744,VE00009836,23.3,Ky gui
HL00001745,VE00047620,13.97,Ky gui
HL00001746,VE00067252,28.87,Ky gui
HL00001747,VE00004082,6.04,Xach tay
HL00001748,VE00018715,2.68,Xach tay
HL00001749,VE00079636,20.8,Ky gui
HL00001750,VE00057433,4.66,Xach tay
HL00001751,VE00004562,4.32,Xach tay
HL00001752,VE00008813,4.51,Xach tay
HL00001753,VE00048016,5.3,Xach tay
HL00001754,VE00047468,21.73,Ky gui
HL00001755,VE00050182,2.93,Xach tay
HL00001756,VE00050182,13.01,Ky gui
HL00001757,VE00074350,1.83,Xach tay
HL00001758,VE00004245,6.5,Xach tay
HL00001759,VE00004245,21.15,Ky gui
HL00001760,VE00020112,13.87,Ky gui
HL00001761,VE00058973,4.68,Xach tay
HL00001762,VE00048624,19.06,Ky gui
HL00001763,VE00058189,12.79,Ky gui
HL00001764,VE00010078,6.01,Xach tay
HL00001765,VE00010078,13.94,Ky gui
HL00001766,VE00075226,4.01,Xach tay
HL00001767,VE00069398,11.71,Ky gui
HL00001768,VE00048097,24.43,Ky gui
HL00001769,VE00052172,15.3,Ky gui
HL00001770,VE00041208,3.38,Xach tay
HL00001771,VE00036529,6.15,Xach tay
HL00001772,VE00036529,6.89,Ky gui
HL00001773,VE00032718,4.62,Xach tay
HL00001774,VE00014870,1.83,Xach tay
HL00001775,VE00003397,4.35,Xach tay
HL00001776,VE00003397,27.44,Ky gui
HL00001777,VE00065411,1.01,Xach tay
HL00001778,VE00067862,13.41,Ky gui
HL00001779,VE00050724,11.61,Ky gui
HL00001780,VE00073620,2.12,Xach tay
HL00001781,VE00015436,3.41,Xach tay
HL00001782,VE00034312,12.34,Ky gui
HL00001783,VE00034117,7.16,Ky gui
HL00001784,VE00028125,1.59,Xach tay
HL00001785,VE00037432,3.78,Xach tay
HL00001786,VE00064383,25.53,Ky gui
HL00001787,VE00026238,26.43,Ky gui
HL00001788,VE00016075,2.98,Xach tay
HL00001789,VE00016075,28.06,Ky gui
HL00001790,VE00017791,29.88,Ky gui
HL00001791,VE00009707,9.13,Ky gui
HL00001792,VE00059251,11.95,Ky gui
HL00001793,VE00022631,3.45,Xach tay
HL00001794,VE00058342,4.44,Xach tay
HL00001795,VE00011507,1.39,Xach tay
HL00001796,VE00011507,17.67,Ky gui
HL00001797,VE00041890,1.73,Xach tay
HL00001798,VE00045538,3.75,Xach tay
HL00001799,VE00045538,24.58,Ky gui
HL00001800,VE00008512,6.52,Xach tay
HL00001801,VE00038059,3.68,Xach tay
HL00001802,VE00039316,20.88,Ky gui
HL00001803,VE00020645,0.75,Xach tay
HL00001804,VE00047382,4.18,Xach tay
HL00001805,VE00066684,3.34,Xach tay
HL00001806,VE00029392,6.44,Xach tay
HL00001807,VE00015908,18.76,Ky gui
HL00001808,VE00026343,4.98,Xach tay
HL00001809,VE00018203,22.57,Ky gui
HL00001810,VE00003446,11.54,Ky gui
HL00001811,VE00047304,5.79,Xach tay
HL00001812,VE00047304,22.04,Ky gui
HL00001813,VE00072617,23.83,Ky gui
HL00001814,VE00075010,12.06,Ky gui
HL00001815,VE00048354,4.93,Xach tay
HL00001816,VE00061264,4.41,Xach tay
HL00001817,VE00017010,5.33,Ky gui
HL00001818,VE00011301,22.4,Ky gui
HL00001819,VE00040540,4.31,Xach tay
HL00001820,VE00062740,10.1,Ky gui
HL00001821,VE00068904,5.89,Xach tay
HL00001822,VE00053844,2.46,Xach tay
HL00001823,VE00075354,15.34,Ky gui
HL00001824,VE00009667,3.18,Xach tay
HL00001825,VE00041554,7.4,Ky gui
HL00001826,VE00009721,25.97,Ky gui
HL00001827,VE00058980,1.43,Xach tay
HL00001828,VE00061058,30.11,Ky gui
HL00001829,VE00067812,2.5,Xach tay
HL00001830,VE00016822,5.04,Ky gui
HL00001831,VE00072261,5.03,Xach tay
HL00001832,VE00072261,19.17,Ky gui
HL00001833,VE00077043,24.79,Ky gui
HL00001834,VE00023851,2.94,Xach tay
HL00001835,VE00016913,10.35,Ky gui
HL00001836,VE00056705,6.67,Xach tay
HL00001837,VE00065912,5.79,Xach tay
HL00001838,VE00007264,0.88,Xach tay
HL00001839,VE00016275,5.43,Xach tay
HL00001840,VE00067909,6.36,Xach tay
HL00001841,VE00020057,4.57,Xach tay
HL00001842,VE00039863,28.45,Ky gui
HL00001843,VE00021582,2.41,Xach tay
HL00001844,VE00021230,2.3,Xach tay
HL00001845,VE00042292,4.31,Xach tay
HL00001846,VE00029553,4.87,Xach tay
HL00001847,VE00045354,0.9,Xach tay
HL00001848,VE00068013,5.2,Ky gui
HL00001849,VE00037231,31.67,Ky gui
HL00001850,VE00010337,3.9,Xach tay
HL00001851,VE00010337,5.2,Ky gui
HL00001852,VE00032848,31.65,Ky gui
HL00001853,VE00025730,30.17,Ky gui
HL00001854,VE00035973,2.69,Xach tay
HL00001855,VE00016407,2.91,Xach tay
HL00001856,VE00065874,30.41,Ky gui
HL00001857,VE00022104,15.22,Ky gui
HL00001858,VE00077570,2.81,Xach tay
HL00001859,VE00077570,13.92,Ky gui
HL00001860,VE00076107,3.47,Xach tay
HL00001861,VE00020211,24.58,Ky gui
HL00001862,VE00079317,4.41,Xach tay
HL00001863,VE00073875,5.05,Xach tay
HL00001864,VE00005400,14.95,Ky gui
HL00001865,VE00003719,22.79,Ky gui
HL00001866,VE00010647,3.19,Xach tay
HL00001867,VE00005959,6.91,Xach tay
HL00001868,VE00034689,5.45,Ky gui
HL00001869,VE00027632,0.8,Xach tay
HL00001870,VE00074992,13.79,Ky gui
HL00001871,VE00054603,4.44,Xach tay
HL00001872,VE00003970,4.48,Xach tay
HL00001873,VE00065279,3.28,Xach tay
HL00001874,VE00065279,30.15,Ky gui
HL00001875,VE00032097,12.93,Ky gui
HL00001876,VE00053228,1.43,Xach tay
HL00001877,VE00038986,20.44,Ky gui
HL00001878,VE00009565,8.45,Ky gui
HL00001879,VE00007853,13.14,Ky gui
HL00001880,VE00020720,19.82,Ky gui
HL00001881,VE00054477,3.4,Xach tay
HL00001882,VE00063472,4.81,Xach tay
HL00001883,VE00060876,1.88,Xach tay
HL00001884,VE00026742,22.81,Ky gui
HL00001885,VE00044590,3.33,Xach tay
HL00001886,VE00044590,24.33,Ky gui
HL00001887,VE00018831,6.54,Xach tay
HL00001888,VE00041854,10.95,Ky gui
HL00001889,VE00045269,3.6,Xach tay
HL00001890,VE00017140,1.38,Xach tay
HL00001891,VE00048568,24.59,Ky gui
HL00001892,VE00067500,5.0,Xach tay
HL00001893,VE00067500,28.54,Ky gui
HL00001894,VE00013918,21.22,Ky gui
HL00001895,VE00041828,15.18,Ky gui
HL00001896,VE00031686,24.87,Ky gui
HL00001897,VE00061142,4.67,Xach tay
HL00001898,VE00016060,28.12,Ky gui
HL00001899,VE00035059,11.04,Ky gui
HL00001900,VE00058930,1.07,Xach tay
HL00001901,VE00032496,5.31,Xach tay
HL00001902,VE00032496,30.3,Ky gui
HL00001903,VE00018466,8.13,Ky gui
