MaLich,MaNV,VaiTro
LB000935,NV001094,Phi cong phu
LB000935,NV001807,Tiep vien truong
LB000935,NV000882,Tiep vien
LB000936,NV000276,Phi cong chinh
LB000936,NV001877,Phi cong phu
LB000936,NV000143,Tiep vien truong
LB000936,NV001609,Tiep vien
LB000936,NV001710,Tiep vien
LB000937,NV001427,Phi cong chinh
LB000937,NV000309,Phi cong phu
LB000937,NV001188,Tiep vien truong
LB000937,NV001679,Tiep vien
LB000937,NV001510,Tiep vien
LB000938,NV001229,Phi cong chinh
LB000938,NV000322,Phi cong phu
LB000938,NV000017,Tiep vien truong
LB000938,NV001368,Tiep vien
LB000938,NV001872,Tiep vien
LB000939,NV000139,Phi cong chinh
LB000939,NV001338,Phi cong phu
LB000939,NV001501,Tiep vien truong
LB000939,NV001247,Tiep vien
LB000939,NV001314,Tiep vien
LB000940,NV001924,Phi cong chinh
LB000940,NV000415,Phi cong phu
LB000940,NV001484,Tiep vien truong
LB000940,NV000464,Tiep vien
LB000940,NV001865,Tiep vien
LB000940,NV000353,Tiep vien
LB000941,NV000269,Phi cong chinh
LB000941,NV000927,Phi cong phu
LB000941,NV001536,Tiep vien truong
LB000941,NV001544,Tiep vien
LB000941,NV000832,Tiep vien
LB000941,NV001302,Tiep vien
LB000942,NV000921,Phi cong chinh
LB000942,NV001012,Phi cong phu
LB000942,NV001747,Tiep vien truong
LB000942,NV001958,Tiep vien
LB000942,NV000667,Tiep vien
LB000942,NV000722,Tiep vien
LB000943,NV000960,Phi cong chinh
LB000943,NV000826,Phi cong phu
LB000943,NV001175,Tiep vien truong
LB000943,NV000366,Tiep vien
LB000943,NV000373,Tiep vien
LB000944,NV000998,Phi cong chinh
LB000944,NV001483,Phi cong phu
LB000944,NV001910,Tiep vien truong
LB000944,NV001318,Tiep vien
LB000944,NV000777,Tiep vien
LB000944,NV001768,Tiep vien
LB000945,NV001327,Phi cong chinh
LB000945,NV000732,Phi cong phu
LB000945,NV001873,Tiep vien truong
LB000945,NV001424,Tiep vien
LB000945,NV001607,Tiep vien
LB000945,NV000578,Tiep vien
LB000946,NV000474,Phi cong chinh
LB000946,NV000498,Phi cong phu
LB000946,NV001803,Tiep vien truong
LB000946,NV000758,Tiep vien
LB000946,NV001739,Tiep vien
LB000946,NV000897,Tiep vien
LB000947,NV001676,Phi cong chinh
LB000947,NV000319,Phi cong phu
LB000947,NV001649,Tiep vien truong
LB000947,NV000471,Tiep vien
LB000947,NV001293,Tiep vien
LB000947,NV001390,Tiep vien
LB000948,NV001727,Phi cong chinh
LB000948,NV001617,Phi cong phu
LB000948,NV001793,Tiep vien truong
LB000948,NV000330,Tiep vien
LB000948,NV001952,Tiep vien
LB000949,NV000845,Phi cong chinh
LB000949,NV001349,Phi cong phu
LB000949,NV001490,Tiep vien truong
LB000949,NV001468,Tiep vien
LB000949,NV001699,Tiep vien
LB000950,NV001761,Phi cong chinh
LB000950,NV001010,Phi cong phu
LB000950,NV001909,Tiep vien truong
LB000950,NV001372,Tiep vien
LB000950,NV000750,Tiep vien
LB000950,NV001088,Tiep vien
LB000951,NV001999,Phi cong chinh
LB000951,NV000043,Phi cong phu
LB000951,NV000307,Tiep vien truong
LB000951,NV000069,Tiep vien
LB000951,NV000981,Tiep vien
LB000951,NV000395,Tiep vien
LB000952,NV000155,Phi cong chinh
LB000952,NV001675,Phi cong phu
LB000952,NV000514,Tiep vien truong
LB000952,NV000705,Tiep vien
LB000953,NV001858,Phi cong chinh
LB000953,NV001936,Phi cong phu
LB000953,NV000751,Tiep vien truong
LB000953,NV001730,Tiep vien
LB000954,NV000577,Phi cong chinh
LB000954,NV000358,Phi cong phu
LB000954,NV001744,Tiep vien truong
LB000954,NV000768,Tiep vien
LB000955,NV000476,Phi cong chinh
LB000955,NV001864,Phi cong phu
LB000955,NV000091,Tiep vien truong
LB000955,NV000934,Tiep vien
LB000955,NV001175,Tiep vien
LB000955,NV000295,Tiep vien
LB000956,NV001547,Phi cong chinh
LB000956,NV001681,Phi cong phu
LB000956,NV001446,Tiep vien truong
LB000956,NV000605,Tiep vien
LB000956,NV001885,Tiep vien
LB000956,NV001640,Tiep vien
LB000957,NV001349,Phi cong chinh
LB000957,NV000928,Phi cong phu
LB000957,NV001317,Tiep vien truong
LB000957,NV001758,Tiep vien
LB000958,NV000679,Phi cong chinh
LB000958,NV001714,Phi cong phu
LB000958,NV000144,Tiep vien truong
LB000958,NV000981,Tiep vien
LB000958,NV000999,Tiep vien
LB000958,NV001075,Tiep vien
LB000959,NV001938,Phi cong chinh
LB000959,NV001697,Phi cong phu
LB000959,NV001422,Tiep vien truong
LB000959,NV000159,Tiep vien
LB000959,NV000037,Tiep vien
LB000960,NV001847,Phi cong chinh
LB000960,NV000577,Phi cong phu
LB000960,NV001581,Tiep vien truong
LB000960,NV002000,Tiep vien
LB000961,NV001069,Phi cong chinh
LB000961,NV000527,Phi cong phu
LB000961,NV001773,Tiep vien truong
LB000961,NV001791,Tiep vien
LB000961,NV001641,Tiep vien
LB000961,NV000949,Tiep vien
LB000962,NV001868,Phi cong chinh
LB000962,NV001427,Phi cong phu
LB000962,NV001875,Tiep vien truong
LB000962,NV001540,Tiep vien
LB000962,NV000508,Tiep vien
LB000962,NV001990,Tiep vien
LB000963,NV001804,Phi cong chinh
LB000963,NV000461,Phi cong phu
LB000963,NV001168,Tiep vien truong
LB000963,NV000469,Tiep vien
LB000963,NV001730,Tiep vien
LB000964,NV000199,Phi cong chinh
LB000964,NV000441,Phi cong phu
LB000964,NV001870,Tiep vien truong
LB000964,NV001324,Tiep vien
LB000965,NV000306,Phi cong chinh
LB000965,NV000917,Phi cong phu
LB000965,NV001102,Tiep vien truong
LB000965,NV000736,Tiep vien
LB000966,NV001340,Phi cong chinh
LB000966,NV000600,Phi cong phu
LB000966,NV000421,Tiep vien truong
LB000966,NV001499,Tiep vien
LB000967,NV000582,Phi cong chinh
LB000967,NV000008,Phi cong phu
LB000967,NV001218,Tiep vien truong
LB000967,NV001791,Tiep vien
LB000967,NV000410,Tiep vien
LB000968,NV000107,Phi cong chinh
LB000968,NV000365,Phi cong phu
LB000968,NV001530,Tiep vien truong
LB000968,NV000149,Tiep vien
LB000968,NV001983,Tiep vien
LB000969,NV001578,Phi cong chinh
LB000969,NV001547,Phi cong phu
LB000969,NV000780,Tiep vien truong
LB000969,NV001269,Tiep vien
LB000969,NV001472,Tiep vien
LB000969,NV001418,Tiep vien
LB000970,NV000875,Phi cong chinh
LB000970,NV000198,Phi cong phu
LB000970,NV000819,Tiep vien truong
LB000970,NV001359,Tiep vien
LB000970,NV000592,Tiep vien
LB000970,NV000482,Tiep vien
LB000971,NV001268,Phi cong chinh
LB000971,NV000181,Phi cong phu
LB000971,NV000418,Tiep vien truong
LB000971,NV001072,Tiep vien
LB000971,NV001393,Tiep vien
LB000971,NV001379,Tiep vien
LB000972,NV000979,Phi cong chinh
LB000972,NV000249,Phi cong phu
LB000972,NV000597,Tiep vien truong
LB000972,NV000558,Tiep vien
LB000972,NV001687,Tiep vien
LB000973,NV000803,Phi cong chinh
LB000973,NV000878,Phi cong phu
LB000973,NV000583,Tiep vien truong
LB000973,NV001928,Tiep vien
LB000973,NV001577,Tiep vien
LB000974,NV001292,Phi cong chinh
LB000974,NV001137,Phi cong phu
LB000974,NV001928,Tiep vien truong
LB000974,NV001645,Tiep vien
LB000974,NV000029,Tiep vien
LB000974,NV000328,Tiep vien
LB000975,NV001674,Phi cong chinh
LB000975,NV000831,Phi cong phu
LB000975,NV000643,Tiep vien truong
LB000975,NV001633,Tiep vien
LB000975,NV001560,Tiep vien
LB000976,NV001568,Phi cong chinh
LB000976,NV000570,Phi cong phu
LB000976,NV001726,Tiep vien truong
LB000976,NV000830,Tiep vien
LB000977,NV000920,Phi cong chinh
LB000977,NV001960,Phi cong phu
LB000977,NV000996,Tiep vien truong
LB000977,NV000683,Tiep vien
LB000978,NV001307,Phi cong chinh
LB000978,NV001802,Phi cong phu
LB000978,NV000069,Tiep vien truong
LB000978,NV001332,Tiep vien
LB000978,NV001978,Tiep vien
LB000979,NV000902,Phi cong chinh
LB000979,NV001256,Phi cong phu
LB000979,NV001164,Tiep vien truong
LB000979,NV001259,Tiep vien
LB000979,NV000132,Tiep vien
LB000979,NV000770,Tiep vien
LB000980,NV001637,Phi cong chinh
LB000980,NV000446,Phi cong phu
LB000980,NV001324,Tiep vien truong
LB000980,NV000237,Tiep vien
LB000980,NV000279,Tiep vien
LB000981,NV000404,Phi cong chinh
LB000981,NV001903,Phi cong phu
LB000981,NV001372,Tiep vien truong
LB000981,NV000025,Tiep vien
LB000981,NV001592,Tiep vien
LB000981,NV000186,Tiep vien
LB000982,NV000498,Phi cong chinh
LB000982,NV001675,Phi cong phu
LB000982,NV001983,Tiep vien truong
LB000982,NV000558,Tiep vien
LB000982,NV001736,Tiep vien
LB000982,NV001092,Tiep vien
LB000983,NV000269,Phi cong chinh
LB000983,NV000489,Phi cong phu
LB000983,NV001770,Tiep vien truong
LB000983,NV001884,Tiep vien
LB000983,NV001984,Tiep vien
LB000983,NV001130,Tiep vien
LB000984,NV001632,Phi cong chinh
LB000984,NV000194,Phi cong phu
LB000984,NV001737,Tiep vien truong
LB000984,NV000408,Tiep vien
LB000984,NV000067,Tiep vien
LB000984,NV001193,Tiep vien
LB000985,NV001782,Phi cong chinh
LB000985,NV000803,Phi cong phu
LB000985,NV000248,Tiep vien truong
LB000985,NV000213,Tiep vien
LB000986,NV000155,Phi cong chinh
LB000986,NV000424,Phi cong phu
LB000986,NV001434,Tiep vien truong
LB000986,NV000200,Tiep vien
LB000986,NV001479,Tiep vien
LB000987,NV000528,Phi cong chinh
LB000987,NV000590,Phi cong phu
LB000987,NV001000,Tiep vien truong
LB000987,NV001173,Tiep vien
LB000987,NV001600,Tiep vien
LB000988,NV000980,Phi cong chinh
LB000988,NV001043,Phi cong phu
LB000988,NV000047,Tiep vien truong
LB000988,NV001002,Tiep vien
LB000988,NV001713,Tiep vien
LB000989,NV000299,Phi cong chinh
LB000989,NV001295,Phi cong phu
LB000989,NV001631,Tiep vien truong
LB000989,NV001822,Tiep vien
LB000990,NV001548,Phi cong chinh
LB000990,NV000176,Phi cong phu
LB000990,NV001501,Tiep vien truong
LB000990,NV000135,Tiep vien
LB000990,NV001767,Tiep vien
LB000990,NV000208,Tiep vien
LB000991,NV000875,Phi cong chinh
LB000991,NV001221,Phi cong phu
LB000991,NV000756,Tiep vien truong
LB000991,NV001737,Tiep vien
LB000992,NV000710,Phi cong chinh
LB000992,NV001491,Phi cong phu
LB000992,NV000742,Tiep vien truong
LB000992,NV001966,Tiep vien
LB000993,NV001058,Phi cong chinh
LB000993,NV000920,Phi cong phu
LB000993,NV001682,Tiep vien truong
LB000993,NV000084,Tiep vien
LB000993,NV001233,Tiep vien
LB000994,NV000376,Phi cong chinh
LB000994,NV001295,Phi cong phu
LB000994,NV000369,Tiep vien truong
LB000994,NV001907,Tiep vien
LB000995,NV000936,Phi cong chinh
LB000995,NV001960,Phi cong phu
LB000995,NV000768,Tiep vien truong
LB000995,NV001615,Tiep vien
LB000995,NV000393,Tiep vien
LB000995,NV000775,Tiep vien
LB000996,NV001686,Phi cong chinh
LB000996,NV001960,Phi cong phu
LB000996,NV001641,Tiep vien truong
LB000996,NV000961,Tiep vien
LB000996,NV000032,Tiep vien
LB000996,NV001424,Tiep vien
LB000997,NV001340,Phi cong chinh
LB000997,NV000337,Phi cong phu
LB000997,NV000123,Tiep vien truong
LB000997,NV000019,Tiep vien
LB000998,NV001383,Phi cong chinh
LB000998,NV001447,Phi cong phu
LB000998,NV001380,Tiep vien truong
LB000998,NV001411,Tiep vien
LB000998,NV000245,Tiep vien
LB000999,NV000718,Phi cong chinh
LB000999,NV000498,Phi cong phu
LB000999,NV001884,Tiep vien truong
LB000999,NV001851,Tiep vien
LB000999,NV000893,Tiep vien
LB000999,NV000550,Tiep vien
LB001000,NV000998,Phi cong chinh
LB001000,NV001630,Phi cong phu
LB001000,NV000385,Tiep vien truong
LB001000,NV000421,Tiep vien
LB001000,NV000482,Tiep vien
LB001000,NV000597,Tiep vien
LB001001,NV001547,Phi cong chinh
LB001001,NV000580,Phi cong phu
LB001001,NV000328,Tiep vien truong
LB001001,NV000479,Tiep vien
LB001002,NV001675,Phi cong chinh
LB001002,NV001964,Phi cong phu
LB001002,NV000159,Tiep vien truong
LB001002,NV001922,Tiep vien
LB001002,NV001413,Tiep vien
LB001002,NV001201,Tiep vien
LB001003,NV001630,Phi cong chinh
LB001003,NV001328,Phi cong phu
LB001003,NV000758,Tiep vien truong
LB001003,NV001706,Tiep vien
LB001004,NV000181,Phi cong chinh
LB001004,NV000577,Phi cong phu
LB001004,NV000511,Tiep vien truong
LB001004,NV001851,Tiep vien
LB001005,NV001404,Phi cong chinh
LB001005,NV001170,Phi cong phu
LB001005,NV000925,Tiep vien truong
LB001005,NV000353,Tiep vien
LB001005,NV001706,Tiep vien
LB001006,NV001647,Phi cong chinh
LB001006,NV000553,Phi cong phu
LB001006,NV000749,Tiep vien truong
LB001006,NV001579,Tiep vien
LB001007,NV000190,Phi cong chinh
LB001007,NV000461,Phi cong phu
LB001007,NV001255,Tiep vien truong
LB001007,NV001173,Tiep vien
LB001007,NV000849,Tiep vien
LB001008,NV001547,Phi cong chinh
LB001008,NV001658,Phi cong phu
LB001008,NV001750,Tiep vien truong
LB001008,NV001499,Tiep vien
LB001008,NV000406,Tiep vien
LB001009,NV001355,Phi cong chinh
LB001009,NV001376,Phi cong phu
LB001009,NV000817,Tiep vien truong
LB001009,NV001102,Tiep vien
LB001009,NV000453,Tiep vien
LB001010,NV000008,Phi cong chinh
LB001010,NV000732,Phi cong phu
LB001010,NV000597,Tiep vien truong
LB001010,NV001799,Tiep vien
LB001011,NV001840,Phi cong chinh
LB001011,NV001622,Phi cong phu
LB001011,NV000733,Tiep vien truong
LB001011,NV000935,Tiep vien
LB001011,NV000367,Tiep vien
LB001012,NV001689,Phi cong chinh
LB001012,NV001827,Phi cong phu
LB001012,NV001243,Tiep vien truong
LB001012,NV001204,Tiep vien
LB001012,NV001164,Tiep vien
LB001013,NV000875,Phi cong chinh
LB001013,NV001905,Phi cong phu
LB001013,NV001259,Tiep vien truong
LB001013,NV001419,Tiep vien
LB001013,NV000311,Tiep vien
LB001014,NV000414,Phi cong chinh
LB001014,NV001630,Phi cong phu
LB001014,NV000236,Tiep vien truong
LB001014,NV000740,Tiep vien
LB001014,NV000381,Tiep vien
LB001014,NV001381,Tiep vien
LB001015,NV000462,Phi cong chinh
LB001015,NV000595,Phi cong phu
LB001015,NV001592,Tiep vien truong
LB001015,NV000223,Tiep vien
LB001015,NV001856,Tiep vien
LB001015,NV000222,Tiep vien
LB001016,NV000057,Phi cong chinh
LB001016,NV001234,Phi cong phu
LB001016,NV000084,Tiep vien truong
LB001016,NV001487,Tiep vien
LB001016,NV001484,Tiep vien
LB001016,NV001041,Tiep vien
LB001017,NV001897,Phi cong chinh
LB001017,NV001429,Phi cong phu
LB001017,NV000100,Tiep vien truong
LB001017,NV001419,Tiep vien
LB001018,NV000594,Phi cong chinh
LB001018,NV001319,Phi cong phu
LB001018,NV001230,Tiep vien truong
LB001018,NV001657,Tiep vien
LB001018,NV001984,Tiep vien
LB001018,NV000400,Tiep vien
LB001019,NV000892,Phi cong chinh
LB001019,NV000936,Phi cong phu
LB001019,NV001981,Tiep vien truong
LB001019,NV001510,Tiep vien
LB001020,NV001827,Phi cong chinh
LB001020,NV000680,Phi cong phu
LB001020,NV001209,Tiep vien truong
LB001020,NV001285,Tiep vien
LB001021,NV001244,Phi cong chinh
LB001021,NV000229,Phi cong phu
LB001021,NV000943,Tiep vien truong
LB001021,NV001290,Tiep vien
LB001021,NV000030,Tiep vien
LB001022,NV001668,Phi cong chinh
LB001022,NV000566,Phi cong phu
LB001022,NV001732,Tiep vien truong
LB001022,NV000435,Tiep vien
LB001022,NV001943,Tiep vien
LB001022,NV001324,Tiep vien
LB001023,NV000329,Phi cong chinh
LB001023,NV001078,Phi cong phu
LB001023,NV000473,Tiep vien truong
LB001023,NV001458,Tiep vien
LB001024,NV001355,Phi cong chinh
LB001024,NV001658,Phi cong phu
LB001024,NV001872,Tiep vien truong
LB001024,NV001866,Tiep vien
LB001025,NV001145,Phi cong chinh
LB001025,NV000875,Phi cong phu
LB001025,NV000587,Tiep vien truong
LB001025,NV001952,Tiep vien
LB001026,NV001170,Phi cong chinh
LB001026,NV000551,Phi cong phu
LB001026,NV000701,Tiep vien truong
LB001026,NV000952,Tiep vien
LB001027,NV000552,Phi cong chinh
LB001027,NV000114,Phi cong phu
LB001027,NV000537,Tiep vien truong
LB001027,NV001333,Tiep vien
LB001027,NV000937,Tiep vien
LB001027,NV001000,Tiep vien
LB001028,NV001121,Phi cong chinh
LB001028,NV001086,Phi cong phu
LB001028,NV000112,Tiep vien truong
LB001028,NV001645,Tiep vien
LB001029,NV000762,Phi cong chinh
LB001029,NV000268,Phi cong phu
LB001029,NV001341,Tiep vien truong
LB001029,NV001609,Tiep vien
LB001029,NV000722,Tiep vien
LB001029,NV001884,Tiep vien
LB001030,NV000595,Phi cong chinh
LB001030,NV001398,Phi cong phu
LB001030,NV001466,Tiep vien truong
LB001030,NV000466,Tiep vien
LB001030,NV000966,Tiep vien
LB001030,NV001657,Tiep vien
LB001031,NV000917,Phi cong chinh
LB001031,NV000892,Phi cong phu
LB001031,NV001657,Tiep vien truong
LB001031,NV000224,Tiep vien
LB001031,NV001332,Tiep vien
LB001031,NV000670,Tiep vien
LB001032,NV000906,Phi cong chinh
LB001032,NV000526,Phi cong phu
LB001032,NV001045,Tiep vien truong
LB001032,NV000914,Tiep vien
LB001032,NV000897,Tiep vien
LB001032,NV001259,Tiep vien
LB001033,NV001954,Phi cong chinh
LB001033,NV001143,Phi cong phu
LB001033,NV000023,Tiep vien truong
LB001033,NV001285,Tiep vien
LB001033,NV000380,Tiep vien
LB001033,NV001144,Tiep vien
LB001034,NV000391,Phi cong chinh
LB001034,NV000544,Phi cong phu
LB001034,NV001324,Tiep vien truong
LB001034,NV001634,Tiep vien
LB001035,NV000645,Phi cong chinh
LB001035,NV000506,Phi cong phu
LB001035,NV000486,Tiep vien truong
LB001035,NV000416,Tiep vien
LB001036,NV000885,Phi cong chinh
LB001036,NV001483,Phi cong phu
LB001036,NV000333,Tiep vien truong
LB001036,NV001682,Tiep vien
LB001036,NV000619,Tiep vien
LB001036,NV001070,Tiep vien
LB001037,NV000803,Phi cong chinh
LB001037,NV001788,Phi cong phu
LB001037,NV001246,Tiep vien truong
LB001037,NV001716,Tiep vien
LB001038,NV001140,Phi cong chinh
LB001038,NV000498,Phi cong phu
LB001038,NV000422,Tiep vien truong
LB001038,NV001640,Tiep vien
LB001038,NV001056,Tiep vien
LB001038,NV000060,Tiep vien
LB001039,NV000570,Phi cong chinh
LB001039,NV000117,Phi cong phu
LB001039,NV001476,Tiep vien truong
LB001039,NV001516,Tiep vien
LB001040,NV000383,Phi cong chinh
LB001040,NV000322,Phi cong phu
LB001040,NV001318,Tiep vien truong
LB001040,NV000112,Tiep vien
LB001040,NV001472,Tiep vien
LB001040,NV000397,Tiep vien
LB001041,NV000160,Phi cong chinh
LB001041,NV000404,Phi cong phu
LB001041,NV000478,Tiep vien truong
LB001041,NV001332,Tiep vien
LB001041,NV001045,Tiep vien
LB001042,NV001456,Phi cong chinh
LB001042,NV001354,Phi cong phu
LB001042,NV000055,Tiep vien truong
LB001042,NV001818,Tiep vien
LB001042,NV001857,Tiep vien
LB001042,NV001684,Tiep vien
LB001043,NV000650,Phi cong chinh
LB001043,NV000214,Phi cong phu
LB001043,NV001168,Tiep vien truong
LB001043,NV001545,Tiep vien
LB001044,NV001125,Phi cong chinh
LB001044,NV001143,Phi cong phu
LB001044,NV000587,Tiep vien truong
LB001044,NV001056,Tiep vien
LB001045,NV001475,Phi cong chinh
LB001045,NV000350,Phi cong phu
LB001045,NV001970,Tiep vien truong
LB001045,NV000480,Tiep vien
LB001045,NV001584,Tiep vien
LB001045,NV001680,Tiep vien
LB001046,NV001244,Phi cong chinh
LB001046,NV000600,Phi cong phu
LB001046,NV001844,Tiep vien truong
LB001046,NV001737,Tiep vien
LB001047,NV000826,Phi cong chinh
LB001047,NV001086,Phi cong phu
LB001047,NV001512,Tiep vien truong
LB001047,NV000193,Tiep vien
LB001047,NV000619,Tiep vien
LB001047,NV000971,Tiep vien
LB001048,NV000924,Phi cong chinh
LB001048,NV000319,Phi cong phu
LB001048,NV000042,Tiep vien truong
LB001048,NV000525,Tiep vien
LB001049,NV001282,Phi cong chinh
LB001049,NV001229,Phi cong phu
LB001049,NV001082,Tiep vien truong
LB001049,NV000402,Tiep vien
LB001049,NV001544,Tiep vien
LB001049,NV000279,Tiep vien
LB001050,NV000415,Phi cong chinh
LB001050,NV001137,Phi cong phu
LB001050,NV001536,Tiep vien truong
LB001050,NV000109,Tiep vien
LB001050,NV001370,Tiep vien
LB001050,NV001293,Tiep vien
LB001051,NV001864,Phi cong chinh
LB001051,NV000299,Phi cong phu
LB001051,NV001246,Tiep vien truong
LB001051,NV001680,Tiep vien
LB001052,NV000317,Phi cong chinh
LB001052,NV001483,Phi cong phu
LB001052,NV000007,Tiep vien truong
LB001052,NV001984,Tiep vien
LB001052,NV001722,Tiep vien
LB001052,NV001645,Tiep vien
LB001053,NV001035,Phi cong chinh
LB001053,NV001282,Phi cong phu
LB001053,NV000957,Tiep vien truong
LB001053,NV000132,Tiep vien
LB001053,NV001760,Tiep vien
LB001054,NV001292,Phi cong chinh
LB001054,NV001033,Phi cong phu
LB001054,NV001246,Tiep vien truong
LB001054,NV001975,Tiep vien
LB001055,NV000920,Phi cong chinh
LB001055,NV000842,Phi cong phu
LB001055,NV001884,Tiep vien truong
LB001055,NV001952,Tiep vien
LB001055,NV001759,Tiep vien
LB001055,NV001480,Tiep vien
LB001056,NV000263,Phi cong chinh
LB001056,NV001030,Phi cong phu
LB001056,NV000677,Tiep vien truong
LB001056,NV001238,Tiep vien
LB001057,NV001894,Phi cong chinh
LB001057,NV000552,Phi cong phu
LB001057,NV000746,Tiep vien truong
LB001057,NV001532,Tiep vien
LB001058,NV001319,Phi cong chinh
LB001058,NV000985,Phi cong phu
LB001058,NV000494,Tiep vien truong
LB001058,NV000019,Tiep vien
LB001058,NV001791,Tiep vien
LB001059,NV001847,Phi cong chinh
LB001059,NV001941,Phi cong phu
LB001059,NV001482,Tiep vien truong
LB001059,NV001347,Tiep vien
LB001060,NV000299,Phi cong chinh
LB001060,NV001268,Phi cong phu
LB001060,NV000964,Tiep vien truong
LB001060,NV001659,Tiep vien
LB001061,NV000489,Phi cong chinh
LB001061,NV001707,Phi cong phu
LB001061,NV001054,Tiep vien truong
LB001061,NV000938,Tiep vien
LB001061,NV000307,Tiep vien
LB001062,NV000374,Phi cong chinh
LB001062,NV001031,Phi cong phu
LB001062,NV001501,Tiep vien truong
LB001062,NV000675,Tiep vien
LB001062,NV000694,Tiep vien
LB001062,NV001377,Tiep vien
LB001063,NV001023,Phi cong chinh
LB001063,NV001355,Phi cong phu
LB001063,NV001557,Tiep vien truong
LB001063,NV000730,Tiep vien
LB001063,NV001724,Tiep vien
LB001064,NV000960,Phi cong chinh
LB001064,NV001868,Phi cong phu
LB001064,NV001064,Tiep vien truong
LB001064,NV001422,Tiep vien
LB001065,NV001934,Phi cong chinh
LB001065,NV001343,Phi cong phu
LB001065,NV000473,Tiep vien truong
LB001065,NV000957,Tiep vien
LB001065,NV001435,Tiep vien
LB001066,NV001340,Phi cong chinh
LB001066,NV001145,Phi cong phu
LB001066,NV000790,Tiep vien truong
LB001066,NV001482,Tiep vien
LB001066,NV000893,Tiep vien
LB001067,NV001905,Phi cong chinh
LB001067,NV001755,Phi cong phu
LB001067,NV001872,Tiep vien truong
LB001067,NV000373,Tiep vien
LB001067,NV001680,Tiep vien
LB001068,NV000299,Phi cong chinh
LB001068,NV001850,Phi cong phu
LB001068,NV001165,Tiep vien truong
LB001068,NV001763,Tiep vien
LB001069,NV000383,Phi cong chinh
LB001069,NV000265,Phi cong phu
LB001069,NV001314,Tiep vien truong
LB001069,NV001029,Tiep vien
LB001070,NV001936,Phi cong chinh
LB001070,NV000813,Phi cong phu
LB001070,NV001560,Tiep vien truong
LB001070,NV001759,Tiep vien
LB001070,NV001732,Tiep vien
LB001070,NV001784,Tiep vien
LB001071,NV000151,Phi cong chinh
LB001071,NV000383,Phi cong phu
LB001071,NV001619,Tiep vien truong
LB001071,NV000019,Tiep vien
LB001071,NV000256,Tiep vien
LB001072,NV000358,Phi cong chinh
LB001072,NV001125,Phi cong phu
LB001072,NV001130,Tiep vien truong
LB001072,NV000250,Tiep vien
LB001072,NV000180,Tiep vien
LB001072,NV000700,Tiep vien
LB001073,NV000524,Phi cong chinh
LB001073,NV000895,Phi cong phu
LB001073,NV001550,Tiep vien truong
LB001073,NV000103,Tiep vien
LB001074,NV001802,Phi cong chinh
LB001074,NV000921,Phi cong phu
LB001074,NV001560,Tiep vien truong
LB001074,NV001669,Tiep vien
LB001074,NV001341,Tiep vien
LB001075,NV000664,Phi cong chinh
LB001075,NV001766,Phi cong phu
LB001075,NV000163,Tiep vien truong
LB001075,NV001983,Tiep vien
LB001075,NV000467,Tiep vien
LB001075,NV001628,Tiep vien
LB001076,NV001206,Phi cong chinh
LB001076,NV001058,Phi cong phu
LB001076,NV000521,Tiep vien truong
LB001076,NV001673,Tiep vien
LB001077,NV001985,Phi cong chinh
LB001077,NV001262,Phi cong phu
LB001077,NV000505,Tiep vien truong
LB001077,NV000092,Tiep vien
LB001077,NV001533,Tiep vien
LB001078,NV001244,Phi cong chinh
LB001078,NV001258,Phi cong phu
LB001078,NV000621,Tiep vien truong
LB001078,NV001563,Tiep vien
LB001078,NV000454,Tiep vien
LB001078,NV001715,Tiep vien
LB001079,NV000097,Phi cong chinh
LB001079,NV000878,Phi cong phu
LB001079,NV001659,Tiep vien truong
LB001079,NV000003,Tiep vien
LB001080,NV000376,Phi cong chinh
LB001080,NV000216,Phi cong phu
LB001080,NV001997,Tiep vien truong
LB001080,NV001028,Tiep vien
LB001080,NV000914,Tiep vien
LB001081,NV001674,Phi cong chinh
LB001081,NV000953,Phi cong phu
LB001081,NV001504,Tiep vien truong
LB001081,NV000520,Tiep vien
LB001081,NV001333,Tiep vien
LB001082,NV000046,Phi cong chinh
LB001082,NV001836,Phi cong phu
LB001082,NV000193,Tiep vien truong
LB001082,NV000255,Tiep vien
LB001082,NV001413,Tiep vien
LB001082,NV000749,Tiep vien
LB001083,NV001804,Phi cong chinh
LB001083,NV001348,Phi cong phu
LB001083,NV000900,Tiep vien truong
LB001083,NV000899,Tiep vien
LB001083,NV000733,Tiep vien
LB001083,NV000610,Tiep vien
LB001084,NV001491,Phi cong chinh
LB001084,NV000461,Phi cong phu
LB001084,NV001038,Tiep vien truong
LB001084,NV001479,Tiep vien
LB001084,NV000017,Tiep vien
LB001085,NV000594,Phi cong chinh
LB001085,NV000414,Phi cong phu
LB001085,NV001310,Tiep vien truong
LB001085,NV000307,Tiep vien
LB001085,NV001435,Tiep vien
LB001086,NV000198,Phi cong chinh
LB001086,NV001221,Phi cong phu
LB001086,NV000884,Tiep vien truong
LB001086,NV000331,Tiep vien
LB001086,NV001320,Tiep vien
LB001087,NV000586,Phi cong chinh
LB001087,NV001303,Phi cong phu
LB001087,NV000669,Tiep vien truong
LB001087,NV001750,Tiep vien
LB001087,NV001150,Tiep vien
LB001087,NV000967,Tiep vien
LB001088,NV001354,Phi cong chinh
LB001088,NV001145,Phi cong phu
LB001088,NV001943,Tiep vien truong
LB001088,NV000883,Tiep vien
LB001089,NV001912,Phi cong chinh
